variable,category,count,share
Day,Friday,60,0.13333333333333333
Day,Saturday,60,0.13333333333333333
Day,Sunday,60,0.13333333333333333
Day,Monday,60,0.13333333333333333
Day,Wednesday,60,0.13333333333333333
Day,Tuesday,60,0.13333333333333333
Day,Thursday,90,0.2
SKU,M01,15,0.03333333333333333
SKU,M02,15,0.03333333333333333
SKU,M03,15,0.03333333333333333
SKU,M04,15,0.03333333333333333
SKU,M05,15,0.03333333333333333
SKU,M06,15,0.03333333333333333
SKU,M07,15,0.03333333333333333
SKU,M08,15,0.03333333333333333
SKU,M09,15,0.03333333333333333
SKU,M10,15,0.03333333333333333
SKU,F01,15,0.03333333333333333
SKU,F02,15,0.03333333333333333
SKU,F03,15,0.03333333333333333
SKU,F04,15,0.03333333333333333
SKU,F05,15,0.03333333333333333
SKU,F06,15,0.03333333333333333
SKU,F07,15,0.03333333333333333
SKU,F08,15,0.03333333333333333
SKU,F09,15,0.03333333333333333
SKU,F10,15,0.03333333333333333
SKU,L01,15,0.03333333333333333
SKU,L02,15,0.03333333333333333
SKU,L03,15,0.03333333333333333
SKU,L04,15,0.03333333333333333
SKU,L05,15,0.03333333333333333
SKU,L06,15,0.03333333333333333
SKU,L07,15,0.03333333333333333
SKU,L08,15,0.03333333333333333
SKU,L09,15,0.03333333333333333
SKU,L10,15,0.03333333333333333
City,C,450,1.0
BU,Mobiles,150,0.3333333333333333
BU,FMCG,150,0.3333333333333333
BU,Lifestyle,150,0.3333333333333333
Brand,Sumsang,30,0.06666666666666667
Brand,Orange,30,0.06666666666666667
Brand,YouM,45,0.1
Brand,RealU,45,0.1
Brand,Vedic,45,0.1
Brand,Babaji,45,0.1
Brand,Viva,60,0.13333333333333333
Brand,Gear,60,0.13333333333333333
Brand,Jeera,90,0.2
Model,RU-10,15,0.03333333333333333
Model,RU-9 Plus,15,0.03333333333333333
Model,YM-99,15,0.03333333333333333
Model,YM-99 Plus,15,0.03333333333333333
Model,YM-98 ,15,0.03333333333333333
Model,RU-9,15,0.03333333333333333
Model,S-20,15,0.03333333333333333
Model,S-21,15,0.03333333333333333
Model,O-10,15,0.03333333333333333
Model,O-11,15,0.03333333333333333
Model,Babaji Oil ,15,0.03333333333333333
Model,Vedic Cream,15,0.03333333333333333
Model,Vedic Shampoo,15,0.03333333333333333
Model,Babaji Shampoo,15,0.03333333333333333
Model,Babaji Cream,15,0.03333333333333333
Model,Vedic Oil,15,0.03333333333333333
Model,Gear Oil,15,0.03333333333333333
Model,Gear Cream,15,0.03333333333333333
Model,Gear Shampoo,15,0.03333333333333333
Model,Gear BB Cream,15,0.03333333333333333
Model,M- T Shirts,15,0.03333333333333333
Model,M- Inners,15,0.03333333333333333
Model,W-Casuals,15,0.03333333333333333
Model,W-Inners,15,0.03333333333333333
Model,M-Jeans,15,0.03333333333333333
Model,M-Casuals,15,0.03333333333333333
Model,W-Western,15,0.03333333333333333
Model,W-Lounge,15,0.03333333333333333
Model,M-Formals,15,0.03333333333333333
Model,M-Shoes,15,0.03333333333333333
